"T","U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.5606,1.5025,1.4154,0,1.2597,1.1301,1,0,0.61,0.21,0
1.5606,1.5025,1.4154,0,1.2597,1.1301,1,0.00238,0.61238,0.21,0
0.93447,1.5375,1.6501,0,0.20939,0.31371,1,0.00476,0.61476,0.21,0
0.93447,1.5375,1.6501,0,0.20939,0.31371,1,0.00714,0.61714,0.21,0
0.93447,1.5375,1.6501,0,0.20939,0.31371,1,0.00952,0.61952,0.21,0
0.93447,1.5375,1.6501,0,0.20939,0.31371,1,0.0119,0.6219,0.21,0
0.93447,1.5375,1.6501,0,0.20939,0.31371,1,0.01428,0.62428,0.21,0
0.59664,1.5411,1.2934,0,0.041893,0.0983,1,0.01666,0.62666,0.21,0
0.59664,1.5411,1.2934,0,0.041893,0.0983,1,0.01904,0.62904,0.21,0
0.59664,1.5411,1.2934,0,0.041893,0.0983,1,0.02142,0.63142,0.21,0
0.59664,1.5411,1.2934,0,0.041893,0.0983,1,0.0238,0.6338,0.21,0
0.59664,1.5411,1.2934,0,0.041893,0.0983,1,0.02618,0.63618,0.21,0
0.84145,2.116,0.68518,0,0.06651,0.11066,1,0.02856,0.63856,0.21,0
0.84145,2.116,0.68518,0,0.06651,0.11066,1,0.03094,0.64094,0.21,0
0.84145,2.116,0.68518,0,0.06651,0.11066,1,0.03332,0.64332,0.21,0
0.84145,2.116,0.68518,0,0.06651,0.11066,1,0.0357,0.6457,0.21,0
0.84145,2.116,0.68518,0,0.06651,0.11066,1,0.03808,0.64808,0.21,0
0.99645,2.5144,0.32699,0,0.087706,0.12323,1,0.04046,0.65046,0.21,0
0.99645,2.5144,0.32699,0,0.087706,0.12323,1,0.04284,0.65284,0.21,0
0.99645,2.5144,0.32699,0,0.087706,0.12323,1,0.04522,0.65522,0.21,0
0.99645,2.5144,0.32699,0,0.087706,0.12323,1,0.0476,0.6576,0.21,0
0.99645,2.5144,0.32699,0,0.087706,0.12323,1,0.04998,0.65998,0.21,0
0.99645,2.5144,0.32699,0,0.087706,0.12323,1,0.05236,0.66236,0.21,0
1.0371,2.6935,0.11701,0,0.082179,0.11093,1,0.05474,0.66474,0.21,0
1.0371,2.6935,0.11701,0,0.082179,0.11093,1,0.05712,0.66712,0.21,0
1.0371,2.6935,0.11701,0,0.082179,0.11093,1,0.0595,0.6695,0.21,0
1.0371,2.6935,0.11701,0,0.082179,0.11093,1,0.06188,0.67188,0.21,0
1.0371,2.6935,0.11701,0,0.082179,0.11093,1,0.06426,0.67426,0.21,0
1.1078,2.79,-0.059037,0,0.094688,0.11966,1,0.06664,0.67664,0.21,0
1.1078,2.79,-0.059037,0,0.094688,0.11966,1,0.06902,0.67902,0.21,0
1.1078,2.79,-0.059037,0,0.094688,0.11966,1,0.0714,0.6814,0.21,0
1.1078,2.79,-0.059037,0,0.094688,0.11966,1,0.07378,0.68378,0.21,0
1.1078,2.79,-0.059037,0,0.094688,0.11966,1,0.07616,0.68616,0.21,0
1.2169,2.6526,-0.31206,0,0.14287,0.16437,1,0.07854,0.68854,0.21,0
1.2169,2.6526,-0.31206,0,0.14287,0.16437,1,0.08092,0.69092,0.21,0
1.2169,2.6526,-0.31206,0,0.14287,0.16437,1,0.0833,0.6933,0.21,0
1.2169,2.6526,-0.31206,0,0.14287,0.16437,1,0.08568,0.69568,0.21,0
1.2169,2.6526,-0.31206,0,0.14287,0.16437,1,0.08806,0.69806,0.21,0
1.2606,2.4795,-0.61471,0,0.20494,0.22761,1,0.09044,0.70044,0.21,0
1.2606,2.4795,-0.61471,0,0.20494,0.22761,1,0.09282,0.70282,0.21,0
1.2606,2.4795,-0.61471,0,0.20494,0.22761,1,0.0952,0.7052,0.21,0
1.2606,2.4795,-0.61471,0,0.20494,0.22761,1,0.09758,0.70758,0.21,0
1.2606,2.4795,-0.61471,0,0.20494,0.22761,1,0.09996,0.70996,0.21,0
1.2606,2.4795,-0.61471,0,0.20494,0.22761,1,0.10234,0.71234,0.21,0
1.2661,2.4703,-0.56094,0,0.25985,0.28733,1,0.10472,0.71472,0.21,0
1.2661,2.4703,-0.56094,0,0.25985,0.28733,1,0.1071,0.7171,0.21,0
1.2661,2.4703,-0.56094,0,0.25985,0.28733,1,0.10948,0.71948,0.21,0
1.2661,2.4703,-0.56094,0,0.25985,0.28733,1,0.11186,0.72186,0.21,0
1.2661,2.4703,-0.56094,0,0.25985,0.28733,1,0.11424,0.72424,0.21,0
1.2882,2.5282,-0.53172,0,0.32806,0.35653,1,0.11662,0.72662,0.21,0
1.2882,2.5282,-0.53172,0,0.32806,0.35653,1,0.119,0.729,0.21,0
1.2882,2.5282,-0.53172,0,0.32806,0.35653,1,0.12138,0.73138,0.21,0
1.2882,2.5282,-0.53172,0,0.32806,0.35653,1,0.12376,0.73376,0.21,0
1.2882,2.5282,-0.53172,0,0.32806,0.35653,1,0.12614,0.73614,0.21,0
1.3403,2.6094,-0.50756,0,0.42212,0.44092,1,0.12852,0.73852,0.21,0
1.3403,2.6094,-0.50756,0,0.42212,0.44092,1,0.1309,0.7409,0.21,0
1.3403,2.6094,-0.50756,0,0.42212,0.44092,1,0.13328,0.74328,0.21,0
1.3403,2.6094,-0.50756,0,0.42212,0.44092,1,0.13566,0.74566,0.21,0
1.3403,2.6094,-0.50756,0,0.42212,0.44092,1,0.13804,0.74804,0.21,0
1.3944,2.6129,-0.34768,0,0.50395,0.50595,1,0.14042,0.75042,0.21,0
1.3944,2.6129,-0.34768,0,0.50395,0.50595,1,0.1428,0.7528,0.21,0
1.3944,2.6129,-0.34768,0,0.50395,0.50595,1,0.14518,0.75518,0.21,0
1.3944,2.6129,-0.34768,0,0.50395,0.50595,1,0.14756,0.75756,0.21,0
1.3944,2.6129,-0.34768,0,0.50395,0.50595,1,0.14994,0.75994,0.21,0
1.3944,2.6129,-0.34768,0,0.50395,0.50595,1,0.15232,0.76232,0.21,0
1.4498,2.5912,-0.24591,0,0.5679,0.54841,1,0.1547,0.7647,0.21,0
1.4498,2.5912,-0.24591,0,0.5679,0.54841,1,0.15708,0.76708,0.21,0
1.4498,2.5912,-0.24591,0,0.5679,0.54841,1,0.15946,0.76946,0.21,0
1.4498,2.5912,-0.24591,0,0.5679,0.54841,1,0.16184,0.77184,0.21,0
1.4498,2.5912,-0.24591,0,0.5679,0.54841,1,0.16422,0.77422,0.21,0
1.5232,2.5665,-0.23896,0,0.64535,0.59316,1,0.1666,0.7766,0.21,0
1.5232,2.5665,-0.23896,0,0.64535,0.59316,1,0.16898,0.77898,0.21,0
1.5232,2.5665,-0.23896,0,0.64535,0.59316,1,0.17136,0.78136,0.21,0
1.5232,2.5665,-0.23896,0,0.64535,0.59316,1,0.17374,0.78374,0.21,0
1.5232,2.5665,-0.23896,0,0.64535,0.59316,1,0.17612,0.78612,0.21,0
1.5936,2.5718,-0.20723,0,0.7344,0.64518,1,0.1785,0.7885,0.21,0
1.5936,2.5718,-0.20723,0,0.7344,0.64518,1,0.18088,0.79088,0.21,0
1.5936,2.5718,-0.20723,0,0.7344,0.64518,1,0.18326,0.79326,0.21,0
1.5936,2.5718,-0.20723,0,0.7344,0.64518,1,0.18564,0.79564,0.21,0
1.5936,2.5718,-0.20723,0,0.7344,0.64518,1,0.18802,0.79802,0.21,0
1.6348,2.5604,-0.19086,0,0.82234,0.70424,1,0.1904,0.8004,0.21,0
1.6348,2.5604,-0.19086,0,0.82234,0.70424,1,0.19278,0.80278,0.21,0
1.6348,2.5604,-0.19086,0,0.82234,0.70424,1,0.19516,0.80516,0.21,0
1.6348,2.5604,-0.19086,0,0.82234,0.70424,1,0.19754,0.80754,0.21,0
1.6348,2.5604,-0.19086,0,0.82234,0.70424,1,0.19992,0.80992,0.21,0
1.6348,2.5604,-0.19086,0,0.82234,0.70424,1,0.2023,0.8123,0.21,0
1.6356,2.5413,-0.19909,0,0.89808,0.76872,1,0.20468,0.81468,0.21,0
1.6356,2.5413,-0.19909,0,0.89808,0.76872,1,0.20706,0.81706,0.21,0
1.6356,2.5413,-0.19909,0,0.89808,0.76872,1,0.20944,0.81944,0.21,0
1.6356,2.5413,-0.19909,0,0.89808,0.76872,1,0.21182,0.82182,0.21,0
1.6356,2.5413,-0.19909,0,0.89808,0.76872,1,0.2142,0.8242,0.21,0
1.6174,2.5239,-0.15131,0,0.94188,0.81526,1,0.21658,0.82658,0.21,0
1.6174,2.5239,-0.15131,0,0.94188,0.81526,1,0.21896,0.82896,0.21,0
1.6174,2.5239,-0.15131,0,0.94188,0.81526,1,0.22134,0.83134,0.21,0
1.6174,2.5239,-0.15131,0,0.94188,0.81526,1,0.22372,0.83372,0.21,0
1.6174,2.5239,-0.15131,0,0.94188,0.81526,1,0.2261,0.8361,0.21,0
1.5906,2.5006,-0.11902,0,0.93324,0.82139,1,0.22848,0.83848,0.21,0
1.5906,2.5006,-0.11902,0,0.93324,0.82139,1,0.23086,0.84086,0.21,0
1.5906,2.5006,-0.11902,0,0.93324,0.82139,1,0.23324,0.84324,0.21,0
1.5906,2.5006,-0.11902,0,0.93324,0.82139,1,0.23562,0.84562,0.21,0
1.5906,2.5006,-0.11902,0,0.93324,0.82139,1,0.238,0.848,0.21,0
1.5904,2.4635,-0.067567,0,0.93294,0.82128,1,0.24038,0.85038,0.21,0
1.5904,2.4635,-0.067567,0,0.93294,0.82128,1,0.24276,0.85276,0.21,0
1.5904,2.4635,-0.067567,0,0.93294,0.82128,1,0.24514,0.85514,0.21,0
1.5904,2.4635,-0.067567,0,0.93294,0.82128,1,0.24752,0.85752,0.21,0
1.5904,2.4635,-0.067567,0,0.93294,0.82128,1,0.2499,0.8599,0.21,0
1.5904,2.4635,-0.067567,0,0.93294,0.82128,1,0.25228,0.86228,0.21,0
1.6173,2.44,-0.035607,0,0.95332,0.82525,1,0.25466,0.86466,0.21,0
1.6173,2.44,-0.035607,0,0.95332,0.82525,1,0.25704,0.86704,0.21,0
1.6173,2.44,-0.035607,0,0.95332,0.82525,1,0.25942,0.86942,0.21,0
1.6173,2.44,-0.035607,0,0.95332,0.82525,1,0.2618,0.8718,0.21,0
1.6173,2.44,-0.035607,0,0.95332,0.82525,1,0.26418,0.87418,0.21,0
1.6527,2.428,-0.029484,0,0.98474,0.8342,1,0.26656,0.87656,0.21,0
1.6527,2.428,-0.029484,0,0.98474,0.8342,1,0.26894,0.87894,0.21,0
1.6527,2.428,-0.029484,0,0.98474,0.8342,1,0.27132,0.88132,0.21,0
1.6527,2.428,-0.029484,0,0.98474,0.8342,1,0.2737,0.8837,0.21,0
1.6527,2.428,-0.029484,0,0.98474,0.8342,1,0.27608,0.88608,0.21,0
1.6553,2.4308,-0.031398,0,1.0141,0.85771,1,0.27846,0.88846,0.21,0
1.6553,2.4308,-0.031398,0,1.0141,0.85771,1,0.28084,0.89084,0.21,0
1.6553,2.4308,-0.031398,0,1.0141,0.85771,1,0.28322,0.89322,0.21,0
1.6553,2.4308,-0.031398,0,1.0141,0.85771,1,0.2856,0.8956,0.21,0
1.6553,2.4308,-0.031398,0,1.0141,0.85771,1,0.28798,0.89798,0.21,0
1.6486,2.4622,-0.03043,0,1.0537,0.89482,1,0.29036,0.90036,0.21,0
1.6486,2.4622,-0.03043,0,1.0537,0.89482,1,0.29274,0.90274,0.21,0
1.6486,2.4622,-0.03043,0,1.0537,0.89482,1,0.29512,0.90512,0.21,0
1.6486,2.4622,-0.03043,0,1.0537,0.89482,1,0.2975,0.9075,0.21,0
1.6486,2.4622,-0.03043,0,1.0537,0.89482,1,0.29988,0.90988,0.21,0
1.6486,2.4622,-0.03043,0,1.0537,0.89482,1,0.30226,0.91226,0.21,0
1.6269,2.4748,-0.024778,0,1.0702,0.92095,1,0.30464,0.91464,0.21,0
1.6269,2.4748,-0.024778,0,1.0702,0.92095,1,0.30702,0.91702,0.21,0
1.6269,2.4748,-0.024778,0,1.0702,0.92095,1,0.3094,0.9194,0.21,0
1.6269,2.4748,-0.024778,0,1.0702,0.92095,1,0.31178,0.92178,0.21,0
1.6269,2.4748,-0.024778,0,1.0702,0.92095,1,0.31416,0.92416,0.21,0
1.6164,2.4574,-0.027886,0,1.0799,0.93535,1,0.31654,0.92654,0.21,0
1.6164,2.4574,-0.027886,0,1.0799,0.93535,1,0.31892,0.92892,0.21,0
1.6164,2.4574,-0.027886,0,1.0799,0.93535,1,0.3213,0.9313,0.21,0
1.6164,2.4574,-0.027886,0,1.0799,0.93535,1,0.32368,0.93368,0.21,0
1.6164,2.4574,-0.027886,0,1.0799,0.93535,1,0.32606,0.93606,0.21,0
1.6196,2.4376,-0.030149,0,1.0942,0.94587,1,0.32844,0.93844,0.21,0
1.6196,2.4376,-0.030149,0,1.0942,0.94587,1,0.33082,0.94082,0.21,0
1.6196,2.4376,-0.030149,0,1.0942,0.94587,1,0.3332,0.9432,0.21,0
1.6196,2.4376,-0.030149,0,1.0942,0.94587,1,0.33558,0.94558,0.21,0
1.6196,2.4376,-0.030149,0,1.0942,0.94587,1,0.33796,0.94796,0.21,0
1.6338,2.4263,-0.029089,0,1.112,0.95291,1,0.34034,0.95034,0.21,0
1.6338,2.4263,-0.029089,0,1.112,0.95291,1,0.34272,0.95272,0.21,0
1.6338,2.4263,-0.029089,0,1.112,0.95291,1,0.3451,0.9551,0.21,0
1.6338,2.4263,-0.029089,0,1.112,0.95291,1,0.34748,0.95748,0.21,0
1.6338,2.4263,-0.029089,0,1.112,0.95291,1,0.34986,0.95986,0.21,0
1.6338,2.4263,-0.029089,0,1.112,0.95291,1,0.35224,0.96224,0.21,0
1.658,2.4271,-0.025115,0,1.1413,0.96369,1,0.35462,0.96462,0.21,0
1.658,2.4271,-0.025115,0,1.1413,0.96369,1,0.357,0.967,0.21,0
1.658,2.4271,-0.025115,0,1.1413,0.96369,1,0.35938,0.96938,0.21,0
1.658,2.4271,-0.025115,0,1.1413,0.96369,1,0.36176,0.97176,0.21,0
1.658,2.4271,-0.025115,0,1.1413,0.96369,1,0.36414,0.97414,0.21,0
1.6764,2.4363,-0.022006,0,1.1846,0.98923,1,0.36652,0.97652,0.21,0
1.6764,2.4363,-0.022006,0,1.1846,0.98923,1,0.3689,0.9789,0.21,0
1.6764,2.4363,-0.022006,0,1.1846,0.98923,1,0.37128,0.98128,0.21,0
1.6764,2.4363,-0.022006,0,1.1846,0.98923,1,0.37366,0.98366,0.21,0
1.6764,2.4363,-0.022006,0,1.1846,0.98923,1,0.37604,0.98604,0.21,0
1.6769,2.4316,-0.022452,0,1.2041,1.0053,1,0.37842,0.98842,0.21,0
1.6769,2.4316,-0.022452,0,1.2041,1.0053,1,0.3808,0.9908,0.21,0
1.6769,2.4316,-0.022452,0,1.2041,1.0053,1,0.38318,0.99318,0.21,0
1.6769,2.4316,-0.022452,0,1.2041,1.0053,1,0.38556,0.99556,0.21,0
1.6769,2.4316,-0.022452,0,1.2041,1.0053,1,0.38794,0.99794,0.21,0
1.669,2.4252,-0.022406,0,1.2017,1.008,1,0.39032,1.0003,0.21,0
1.669,2.4252,-0.022406,0,1.2017,1.008,1,0.3927,1.0027,0.21,0
1.669,2.4252,-0.022406,0,1.2017,1.008,1,0.39508,1.0051,0.21,0
1.669,2.4252,-0.022406,0,1.2017,1.008,1,0.39746,1.0075,0.21,0
1.669,2.4252,-0.022406,0,1.2017,1.008,1,0.39984,1.0098,0.21,0
1.669,2.4252,-0.022406,0,1.2017,1.008,1,0.40222,1.0122,0.21,0
1.6568,2.4175,-0.020027,0,1.1939,1.0089,1,0.4046,1.0146,0.21,0
1.6568,2.4175,-0.020027,0,1.1939,1.0089,1,0.40698,1.017,0.21,0
1.6568,2.4175,-0.020027,0,1.1939,1.0089,1,0.40936,1.0194,0.21,0
1.6568,2.4175,-0.020027,0,1.1939,1.0089,1,0.41174,1.0217,0.21,0
1.6568,2.4175,-0.020027,0,1.1939,1.0089,1,0.41412,1.0241,0.21,0
1.6521,2.4046,-0.013827,0,1.1876,1.0063,1,0.4165,1.0265,0.21,0
1.6521,2.4046,-0.013827,0,1.1876,1.0063,1,0.41888,1.0289,0.21,0
1.6521,2.4046,-0.013827,0,1.1876,1.0063,1,0.42126,1.0313,0.21,0
1.6521,2.4046,-0.013827,0,1.1876,1.0063,1,0.42364,1.0336,0.21,0
1.6521,2.4046,-0.013827,0,1.1876,1.0063,1,0.42602,1.036,0.21,0
1.6561,2.3979,-0.011205,0,1.1918,1.0075,1,0.4284,1.0384,0.21,0
1.6561,2.3979,-0.011205,0,1.1918,1.0075,1,0.43078,1.0408,0.21,0
1.6561,2.3979,-0.011205,0,1.1918,1.0075,1,0.43316,1.0432,0.21,0
1.6561,2.3979,-0.011205,0,1.1918,1.0075,1,0.43554,1.0455,0.21,0
1.6561,2.3979,-0.011205,0,1.1918,1.0075,1,0.43792,1.0479,0.21,0
1.6696,2.3929,-0.011957,0,1.2068,1.0119,1,0.4403,1.0503,0.21,0
1.6696,2.3929,-0.011957,0,1.2068,1.0119,1,0.44268,1.0527,0.21,0
1.6696,2.3929,-0.011957,0,1.2068,1.0119,1,0.44506,1.0551,0.21,0
1.6696,2.3929,-0.011957,0,1.2068,1.0119,1,0.44744,1.0574,0.21,0
1.6696,2.3929,-0.011957,0,1.2068,1.0119,1,0.44982,1.0598,0.21,0
1.6696,2.3929,-0.011957,0,1.2068,1.0119,1,0.4522,1.0622,0.21,0
1.6869,2.4005,-0.012693,0,1.2334,1.0236,1,0.45458,1.0646,0.21,0
1.6869,2.4005,-0.012693,0,1.2334,1.0236,1,0.45696,1.067,0.21,0
1.6869,2.4005,-0.012693,0,1.2334,1.0236,1,0.45934,1.0693,0.21,0
1.6869,2.4005,-0.012693,0,1.2334,1.0236,1,0.46172,1.0717,0.21,0
1.6869,2.4005,-0.012693,0,1.2334,1.0236,1,0.4641,1.0741,0.21,0
1.6966,2.4163,-0.0089592,0,1.2672,1.0457,1,0.46648,1.0765,0.21,0
1.6966,2.4163,-0.0089592,0,1.2672,1.0457,1,0.46886,1.0789,0.21,0
1.6966,2.4163,-0.0089592,0,1.2672,1.0457,1,0.47124,1.0812,0.21,0
1.6966,2.4163,-0.0089592,0,1.2672,1.0457,1,0.47362,1.0836,0.21,0
1.6966,2.4163,-0.0089592,0,1.2672,1.0457,1,0.476,1.086,0.21,0
1.6965,2.415,-0.007044,0,1.282,1.058,1,0.47838,1.0884,0.21,0
1.6965,2.415,-0.007044,0,1.282,1.058,1,0.48076,1.0908,0.21,0
1.6965,2.415,-0.007044,0,1.282,1.058,1,0.48314,1.0931,0.21,0
1.6965,2.415,-0.007044,0,1.282,1.058,1,0.48552,1.0955,0.21,0
1.6965,2.415,-0.007044,0,1.282,1.058,1,0.4879,1.0979,0.21,0
1.6904,2.4066,-0.0073625,0,1.2824,1.0621,1,0.49028,1.1003,0.21,0
1.6904,2.4066,-0.0073625,0,1.2824,1.0621,1,0.49266,1.1027,0.21,0
1.6904,2.4066,-0.0073625,0,1.2824,1.0621,1,0.49504,1.105,0.21,0
1.6904,2.4066,-0.0073625,0,1.2824,1.0621,1,0.49742,1.1074,0.21,0
1.6904,2.4066,-0.0073625,0,1.2824,1.0621,1,0.4998,1.1098,0.21,0
1.6904,2.4066,-0.0073625,0,1.2824,1.0621,1,0.50218,1.1122,0.21,0
1.6825,2.3984,-0.0082506,0,1.2803,1.0653,1,0.50456,1.1146,0.21,0
1.6825,2.3984,-0.0082506,0,1.2803,1.0653,1,0.50694,1.1169,0.21,0
1.6825,2.3984,-0.0082506,0,1.2803,1.0653,1,0.50932,1.1193,0.21,0
1.6825,2.3984,-0.0082506,0,1.2803,1.0653,1,0.5117,1.1217,0.21,0
1.6825,2.3984,-0.0082506,0,1.2803,1.0653,1,0.51408,1.1241,0.21,0
1.6784,2.3919,-0.0097849,0,1.2802,1.0678,1,0.51646,1.1265,0.21,0
1.6784,2.3919,-0.0097849,0,1.2802,1.0678,1,0.51884,1.1288,0.21,0
1.6784,2.3919,-0.0097849,0,1.2802,1.0678,1,0.52122,1.1312,0.21,0
1.6784,2.3919,-0.0097849,0,1.2802,1.0678,1,0.5236,1.1336,0.21,0
1.6784,2.3919,-0.0097849,0,1.2802,1.0678,1,0.52598,1.136,0.21,0
1.6772,2.3875,-0.010911,0,1.2831,1.0711,1,0.52836,1.1384,0.21,0
1.6772,2.3875,-0.010911,0,1.2831,1.0711,1,0.53074,1.1407,0.21,0
1.6772,2.3875,-0.010911,0,1.2831,1.0711,1,0.53312,1.1431,0.21,0
1.6772,2.3875,-0.010911,0,1.2831,1.0711,1,0.5355,1.1455,0.21,0
1.6772,2.3875,-0.010911,0,1.2831,1.0711,1,0.53788,1.1479,0.21,0
1.6772,2.3878,-0.010872,0,1.2915,1.078,1,0.54026,1.1503,0.21,0
1.6772,2.3878,-0.010872,0,1.2915,1.078,1,0.54264,1.1526,0.21,0
1.6772,2.3878,-0.010872,0,1.2915,1.078,1,0.54502,1.155,0.21,0
1.6772,2.3878,-0.010872,0,1.2915,1.078,1,0.5474,1.1574,0.21,0
1.6772,2.3878,-0.010872,0,1.2915,1.078,1,0.54978,1.1598,0.21,0
1.6772,2.3878,-0.010872,0,1.2915,1.078,1,0.55216,1.1622,0.21,0
1.6796,2.3942,-0.0083712,0,1.3095,1.0915,1,0.55454,1.1645,0.21,0
1.6796,2.3942,-0.0083712,0,1.3095,1.0915,1,0.55692,1.1669,0.21,0
1.6796,2.3942,-0.0083712,0,1.3095,1.0915,1,0.5593,1.1693,0.21,0
1.6796,2.3942,-0.0083712,0,1.3095,1.0915,1,0.56168,1.1717,0.21,0
1.6796,2.3942,-0.0083712,0,1.3095,1.0915,1,0.56406,1.1741,0.21,0
1.6808,2.3959,-0.0074417,0,1.3257,1.1042,1,0.56644,1.1764,0.21,0
1.6808,2.3959,-0.0074417,0,1.3257,1.1042,1,0.56882,1.1788,0.21,0
1.6808,2.3959,-0.0074417,0,1.3257,1.1042,1,0.5712,1.1812,0.21,0
1.6808,2.3959,-0.0074417,0,1.3257,1.1042,1,0.57358,1.1836,0.21,0
1.6808,2.3959,-0.0074417,0,1.3257,1.1042,1,0.57596,1.186,0.21,0
1.678,2.3901,-0.0078428,0,1.3286,1.1085,1,0.57834,1.1883,0.21,0
1.678,2.3901,-0.0078428,0,1.3286,1.1085,1,0.58072,1.1907,0.21,0
1.678,2.3901,-0.0078428,0,1.3286,1.1085,1,0.5831,1.1931,0.21,0
1.678,2.3901,-0.0078428,0,1.3286,1.1085,1,0.58548,1.1955,0.21,0
1.678,2.3901,-0.0078428,0,1.3286,1.1085,1,0.58786,1.1979,0.21,0
1.6727,2.3854,-0.0081688,0,1.3269,1.1106,1,0.59024,1.2002,0.21,0
1.6727,2.3854,-0.0081688,0,1.3269,1.1106,1,0.59262,1.2026,0.21,0
1.6727,2.3854,-0.0081688,0,1.3269,1.1106,1,0.595,1.205,0.21,0
1.6727,2.3854,-0.0081688,0,1.3269,1.1106,1,0.59738,1.2074,0.21,0
1.6727,2.3854,-0.0081688,0,1.3269,1.1106,1,0.59976,1.2098,0.21,0
1.6727,2.3854,-0.0081688,0,1.3269,1.1106,1,0.60214,1.2121,0.21,0
1.6683,2.382,-0.0082832,0,1.3255,1.1123,1,0.60452,1.2145,0.21,0
1.6683,2.382,-0.0082832,0,1.3255,1.1123,1,0.6069,1.2169,0.21,0
1.6683,2.382,-0.0082832,0,1.3255,1.1123,1,0.60928,1.2193,0.21,0
1.6683,2.382,-0.0082832,0,1.3255,1.1123,1,0.61166,1.2217,0.21,0
1.6683,2.382,-0.0082832,0,1.3255,1.1123,1,0.61404,1.224,0.21,0
1.6658,2.3809,-0.0081419,0,1.3261,1.1145,1,0.61642,1.2264,0.21,0
1.6658,2.3809,-0.0081419,0,1.3261,1.1145,1,0.6188,1.2288,0.21,0
1.6658,2.3809,-0.0081419,0,1.3261,1.1145,1,0.62118,1.2312,0.21,0
1.6658,2.3809,-0.0081419,0,1.3261,1.1145,1,0.62356,1.2336,0.21,0
1.6658,2.3809,-0.0081419,0,1.3261,1.1145,1,0.62594,1.2359,0.21,0
1.6656,2.3856,-0.0070152,0,1.3322,1.1197,1,0.62832,1.2383,0.21,0
1.6656,2.3856,-0.0070152,0,1.3322,1.1197,1,0.6307,1.2407,0.21,0
1.6656,2.3856,-0.0070152,0,1.3322,1.1197,1,0.63308,1.2431,0.21,0
1.6656,2.3856,-0.0070152,0,1.3322,1.1197,1,0.63546,1.2455,0.21,0
1.6656,2.3856,-0.0070152,0,1.3322,1.1197,1,0.63784,1.2478,0.21,0
1.6674,2.3932,-0.0046909,0,1.342,1.1268,1,0.64022,1.2502,0.21,0
1.6674,2.3932,-0.0046909,0,1.342,1.1268,1,0.6426,1.2526,0.21,0
1.6674,2.3932,-0.0046909,0,1.342,1.1268,1,0.64498,1.255,0.21,0
1.6674,2.3932,-0.0046909,0,1.342,1.1268,1,0.64736,1.2574,0.21,0
1.6674,2.3932,-0.0046909,0,1.342,1.1268,1,0.64974,1.2597,0.21,0
1.6674,2.3932,-0.0046909,0,1.342,1.1268,1,0.65212,1.2621,0.21,0
1.6676,2.395,-0.0036128,0,1.3445,1.1288,1,0.6545,1.2645,0.21,0
1.6676,2.395,-0.0036128,0,1.3445,1.1288,1,0.65688,1.2669,0.21,0
1.6676,2.395,-0.0036128,0,1.3445,1.1288,1,0.65926,1.2693,0.21,0
1.6676,2.395,-0.0036128,0,1.3445,1.1288,1,0.66164,1.2716,0.21,0
1.6676,2.395,-0.0036128,0,1.3445,1.1288,1,0.66402,1.274,0.21,0
1.6653,2.395,-0.002652,0,1.3418,1.128,1,0.6664,1.2764,0.21,0
1.6653,2.395,-0.002652,0,1.3418,1.128,1,0.66878,1.2788,0.21,0
1.6653,2.395,-0.002652,0,1.3418,1.128,1,0.67116,1.2812,0.21,0
1.6653,2.395,-0.002652,0,1.3418,1.128,1,0.67354,1.2835,0.21,0
1.6653,2.395,-0.002652,0,1.3418,1.128,1,0.67592,1.2859,0.21,0
1.6601,2.3926,-0.0021218,0,1.3344,1.1253,1,0.6783,1.2883,0.21,0
1.6601,2.3926,-0.0021218,0,1.3344,1.1253,1,0.68068,1.2907,0.21,0
1.6601,2.3926,-0.0021218,0,1.3344,1.1253,1,0.68306,1.2931,0.21,0
1.6601,2.3926,-0.0021218,0,1.3344,1.1253,1,0.68544,1.2954,0.21,0
1.6601,2.3926,-0.0021218,0,1.3344,1.1253,1,0.68782,1.2978,0.21,0
2.1569,1.6418,0.020094,0,2.6551,1.7234,1,0.6902,1.3002,0.21,0
2.1569,1.6418,0.020094,0,2.6551,1.7234,1,0.69258,1.3026,0.21,0
2.1569,1.6418,0.020094,0,2.6551,1.7234,1,0.69496,1.305,0.21,0
2.1569,1.6418,0.020094,0,2.6551,1.7234,1,0.69734,1.3073,0.21,0
2.1569,1.6418,0.020094,0,2.6551,1.7234,1,0.69972,1.3097,0.21,0
2.1569,1.6418,0.020094,0,2.6551,1.7234,1,0.7021,1.3121,0.21,0
2.7527,0.81629,0.030859,0,5.547,2.8211,1,0.70448,1.3145,0.21,0
2.7527,0.81629,0.030859,0,5.547,2.8211,1,0.70686,1.3169,0.21,0
2.7527,0.81629,0.030859,0,5.547,2.8211,1,0.70924,1.3192,0.21,0
2.7527,0.81629,0.030859,0,5.547,2.8211,1,0.71162,1.3216,0.21,0
2.7527,0.81629,0.030859,0,5.547,2.8211,1,0.714,1.324,0.21,0
2.8202,0.70527,0.03146,0,6.0066,2.9818,1,0.71638,1.3264,0.21,0
2.8202,0.70527,0.03146,0,6.0066,2.9818,1,0.71876,1.3288,0.21,0
2.8202,0.70527,0.03146,0,6.0066,2.9818,1,0.72114,1.3311,0.21,0
2.8202,0.70527,0.03146,0,6.0066,2.9818,1,0.72352,1.3335,0.21,0
